pop rep sampled
FS-LAT6 A NA
CE-SRK6 A yes
NL-WHV6 A yes
CC-ALM6 A yes
FC-LEM6 A yes
FC-MLB6 A yes
CE-JAM6 A yes
CE-TUL6 A yes
CC-GUA6 A yes
CE-JAR6 A yes
FS-VID6 A yes
CC-FBK6 A yes
CC-SHL6 A yes
CC-CUP6 A yes
NL-SCH6 A yes
CE-JVR6 A yes
CC-FOO6 A yes
NL-CUI6 A yes
FC-COU7 A yes
FS-LAT7 A NA
CE-LGR7 A yes
CE-LLL7 A yes
CC-GUA7 A yes
FC-LEM7 A yes
FC-COD7 A yes
FS-ARI7 A NA
FS-MER7 A NA
CE-SRK7 A yes
NL-DOR7 A yes
CC-BYD7 A yes
FS-FRE7 A yes
CE-TUL7 A yes
CC-ALM11 A yes
CC-SHL7 A yes
CC-FOO11 A yes
NL-LAR7 A yes
CE-SCT11 A yes
CE-JES7 A yes
CC-BAI7 A yes
CE-JAM7 A yes
CE-OAK7 A yes
CE-CAR7 A yes
CE-JVR7 A yes
CC-CVR7 A yes
NL-CUI7 A yes
FC-BOE7 A yes
FC-ISB7 A yes
CE-DUT7 A yes
NL-HAR7 A yes
CC-CUP7 A yes
CC-ALV7 A yes
FC-MMA7 A yes
FC-EVR7 A yes
CC-FBK7 A yes
NL-WHV7 A yes
NL-TIL7 A yes
FC-MLB7 A yes
CC-PPR7 A yes
CE-JAR7 A yes
CE-COL7 A yes
CC-OKA7 A yes
FS-VID7 A yes
NL-SCH7 A yes
CE-SON7 A yes
CC-LEX7 A yes
CC-SCR7 A yes
CE-SON8 A yes
CC-ALV8 A yes
CC-OKA8 A yes
FC-LEM8 A yes
CE-JES8 A yes
CC-SHL8 A yes
CE-SCT8 A yes
NL-TIL8 A yes
CE-LGR8 A yes
FC-BOE8 A yes
CC-LEX8 A yes
NL-WHV8 A yes
CE-JAR8 A yes
CC-PPR8 A yes
FC-EVR8 A yes
CE-SRK8 A yes
NL-HAR8 A yes
CE-COL8 A yes
FS-LAT8 A NA
CE-LLL8 A yes
CC-ALM8 A yes
FC-COU8 A yes
FS-MER8 A NA
NL-SCH8 A yes
NL-CUI8 A NA
CC-FOO8 A yes
CE-JVR8 A NA
CE-OAK8 A yes
CE-DUT8 A yes
FC-MMA8 A yes
NL-DOR8 A NA
CE-TUL8 A yes
CC-GUA8 A yes
FS-ARI8 A NA
CE-CAR8 A yes
FC-MLB8 A yes
CC-CUP8 A yes
FC-COD8 A yes
FS-FRE8 A yes
CC-CVR8 A yes
FC-ISB8 A yes
CC-SCR8 A yes
NL-LAR8 A NA
CE-JAM8 A yes
CC-BAI8 A no
FS-VID8 A yes
CC-FBK8 A yes
CC-BYD8 A yes
CE-JVR9 A yes
CC-CVR9 A yes
NL-DOR9 A yes
CE-LGR9 A yes
FS-MER9 A yes
CC-FBK9 A yes
NL-WHV9 A yes
CC-PPR9 A yes
NL-CUI9 A NA
CE-JES9 A yes
CC-ALV9 A yes
CE-CAR9 A yes
NL-HAR9 A no
CC-SCR9 A yes
FS-FRE9 A yes
CC-OKA9 A yes
CE-JAR9 A yes
CC-FOO9 A yes
NL-SCH9 A yes
CC-SHL9 A yes
CC-LEX9 A yes
FC-EVR9 A yes
NL-LAR9 A yes
CC-BAI9 A yes
CE-SCT9 A NA
FS-VID9 A yes
CC-ALM9 A yes
FS-LAT9 A NA
CC-CUP9 A yes
NL-TIL9 A no
CE-COL9 A yes
CC-BYD9 A yes
CE-DUT9 A yes
CE-SON9 A yes
FC-MLB9 A yes
FC-MMA9 A NA
FC-COD9 A yes
CE-SRK9 A yes
FC-ISB9 A yes
CE-JAM9 A yes
FC-LEM9 A yes
CC-GUA9 A yes
FC-COU9 A yes
CE-LLL9 A yes
FC-BOE9 A yes
FS-ARI9 A NA
CE-OAK9 A yes
CE-TUL9 A yes
CE-LGR10 A yes
CE-OAK10 A yes
FS-LAT10 A NA
NL-CUI10 A no
NL-HAR10 A yes
CE-JAR10 A yes
CC-FBK10 A yes
FC-BOE10 A yes
CE-SRK10 A yes
NL-TIL10 A yes
CE-COL10 A yes
CC-ALV10 A yes
CC-CUP10 A yes
FC-MMA10 A yes
CE-JVR10 A NA
NL-LAR10 A yes
FC-COD10 A no
CC-CVR10 A yes
FC-LEM10 A no
CC-ALM10 A yes
CC-LEX10 A yes
FS-FRE10 A yes
FS-VID10 A yes
CE-JES10 A yes
FC-EVR10 A yes
CC-PPR10 A yes
CC-FOO10 A yes
CE-CAR10 A yes
NL-DOR10 A yes
FC-COU10 A no
CC-OKA10 A yes
CC-BAI10 A yes
NL-SCH10 A yes
CE-TUL11 A no
CC-GUA10 A yes
NL-WHV10 A no
CE-DUT10 A yes
FS-MER10 A NA
CE-SCT10 A yes
FC-ISB10 A no
CE-SON10 A yes
CE-JAM10 A yes
CC-SHL10 A yes
CC-SCR10 A yes
CE-LLL10 A yes
CC-BYD10 A yes
FC-MLB10 A yes
FS-ARI10 A NA
CE-LGR1 B no
FS-LAT1 B NA
NL-SCH1 B no
CE-SRK1 B no
CE-JES1 B no
CE-JAM1 B no
CE-LLL1 B no
FS-MER1 B no
FC-COD1 B no
CE-OAK1 B no
NL-WHV1 B yes
CC-LEX1 B no
FC-LEM1 B no
NL-CUI1 B no
CC-CVR1 B no
CE-TUL1 B no
NL-HAR1 B no
CE-SCT1 B no
CC-BYD1 B no
NL-DOR1 B NA
CE-DUT1 B no
CC-SCR1 B no
CE-CAR1 B no
CE-JVR1 B no
FC-BOE1 B yes (DNA)
FC-ISB1 B no
FS-ARI1 B NA
CC-GUA1 B no
CC-PPR1 B NA
FC-COU1 B no
CC-ALM1 B no
CE-JAR1 B no
CC-SHL1 B no
FS-FRE1 B yes (DNA)
FC-MMA1 B NA
CC-BAI1 B no
CC-OKA1 B no
FC-MLB1 B no
CC-FOO1 B no
CE-SON1 B yes
CC-ALV1 B no
NL-TIL1 B no
CE-COL1 B yes
CC-FBK1 B no
FC-EVR1 B NA
CC-CUP1 B no
NL-LAR1 B no
FS-VID1 B no
CE-SCT2 B no
CE-JAR2 B no
CC-OKA2 B no
CC-LEX2 B no
CE-SRK2 B no
CE-JVR2 B NA
CC-FOO2 B no
CE-JAM2 B no
CE-DUT2 B no
FC-MMA2 B no
CC-SCR2 B no
CE-CAR2 B no
FS-VID2 B NA
NL-SCH2 B no
NL-HAR2 B no
NL-LAR2 B no
CC-ALV2 B no
FS-MER2 B NA
CC-FBK2 B no
NL-DOR2 B no
FC-BOE2 B no
CC-GUA2 B no
FC-LEM2 B no
CC-PPR2 B no
FC-ISB2 B NA
FC-EVR2 B no
